",,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals"
"Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF"
"10,American,30,15,15,.500,-4.00,-7.03,9,9,8,7,6,8,2161,2070,,1220,780,1643,.475,190,583,.326,411,589,.698,251,1013,401,221,131,386,520"
"11,Appalachian State,32,11,21,.344,-3.75,0.07,6,12,9,5,2,12,2557,2539,,1290,880,1938,.454,292,814,.359,505,706,.715,310,1126,406,171,89,418,585"
"12,Arizona State NCAA,34,23,11,.676,10.39,6.15,12,6,13,3,6,5,2638,2494,,1380,899,2012,.447,240,714,.336,600,882,.680,399,1351,459,213,109,466,675"
"13,Arizona,32,17,15,.531,8.40,6.40,8,10,12,5,4,7,2269,2205,,1290,794,1861,.427,235,699,.336,446,620,.719,324,1116,397,165,73,370,594"
"14,Little Rock,31,10,21,.323,-4.80,-2.01,5,13,7,9,3,12,2301,2353,,1250,817,1687,.484,206,581,.355,461,703,.656,244,1060,443,169,87,503,622"
"15,Arkansas-Pine Bluff,32,13,19,.406,-14.54,-8.28,10,8,8,2,4,17,2108,2269,,1300,719,1685,.427,194,574,.338,476,702,.678,317,1063,365,216,108,478,629"
"16,Arkansas State,32,13,19,.406,-6.99,-1.12,7,11,10,4,2,13,2359,2475,,1310,796,1904,.418,237,709,.334,530,721,.735,403,1211,363,183,139,448,684"
"17,Arkansas,33,18,15,.545,11.85,8.70,8,10,12,6,5,7,2499,2395,,1330,874,1949,.448,251,724,.347,500,749,.668,337,1111,521,266,162,439,667"
"18,Army,32,13,19,.406,-7.33,-4.49,8,10,10,4,3,13,2268,2305,,1280,837,1956,.428,272,864,.315,322,471,.684,259,1125,499,198,50,376,544"
"19,Auburn NCAA,36,27,9,.750,19.84,9.81,11,7,15,2,4,6,2863,2461,,1450,982,2192,.448,408,1083,.377,491,690,.712,424,1236,514,339,170,434,660"
"20,Austin Peay,33,22,11,.667,0.72,-4.28,13,5,10,2,8,7,2712,2413,,1335,973,2060,.472,268,702,.382,498,705,.706,397,1215,454,252,110,392,595"
"21,Ball State,33,16,17,.485,3.53,1.34,6,12,7,7,8,7,2478,2362,,1340,889,1892,.470,202,621,.325,498,709,.702,308,1243,426,217,119,480,580"
"22,Baylor NCAA,33,20,13,.606,13.13,8.53,10,8,13,5,5,6,2371,2219,,1325,844,1905,.443,270,782,.345,413,613,.674,437,1253,463,203,156,436,616"
"23,Belmont NCAA,33,27,6,.818,9.23,-2.49,16,2,13,1,12,3,2868,2439,,1330,1042,2094,.498,343,921,.372,441,598,.737,286,1275,645,220,125,376,509"
"24,Bethune-Cookman,31,14,17,.452,-11.82,-9.58,9,7,11,4,3,12,2290,2245,,1250,833,1899,.439,204,635,.321,420,689,.610,415,1273,443,234,108,501,610"
"25,Binghamton,33,10,23,.303,-13.70,-4.47,5,11,5,11,5,12,2152,2376,,1320,793,1842,.431,275,788,.349,291,452,.644,244,1060,324,183,152,409,474"
"26,Boise State,33,13,20,.394,3.73,1.20,7,11,8,7,3,10,2364,2263,,1330,845,1801,.469,252,715,.352,422,584,.723,242,1016,398,200,68,379,569"
"27,Boston College,31,14,17,.452,6.18,8.12,5,13,10,8,2,8,2196,2256,,1260,768,1808,.425,218,687,.317,442,633,.698,331,1137,382,159,103,378,509"
"28,Boston University,33,15,18,.455,-6.42,-5.20,7,11,7,7,8,10,2385,2387,,1325,922,1922,.480,221,639,.346,320,468,.684,311,1091,447,199,73,425,578"
"29,Bowling Green State,34,22,12,.647,4.39,1.02,12,6,14,2,5,8,2668,2496,,1370,945,2134,.443,272,762,.357,506,755,.670,408,1396,427,227,90,412,595"
